specie,X,Y
Mcarb,-325872,8156538
Mcarb,-325872,8156538
Mcarb,-325872,8156538
Mcarb,-325872,8156538
Mcarb,-325872,8156538
Mcarb,-325657,8150964
Mcarb,-325657,8150964
Mcarb,-325657,8150964
Mcarb,-325657,8150964
Mcarb,-352874,8185639
Mcarb,-352874,8185639
Mcarb,-352874,8185639
Mcarb,-359610,8191289
Mcarb,-322140,8151255
Mcarb,-322140,8151255
Mcarb,-322140,8151255
Mcarb,-359610,8191289
Mcarb,-326775.1687,8152037.54
Mcarb,-327850.2375,8151995.891
Mcarb,-326775.1687,8152037.54
Mcarb,-326775.1687,8152037.54
Mcarb,-326775.1687,8152037.54
Mcarb,-326775.1687,8152037.54
Mcarb,-326775.1687,8152037.54
Mcarb,-326775.1687,8152037.54
Mcarb,-326688.8044,8149808.07
Mcarb,-326688.8044,8149808.07
Mcarb,-326688.8044,8149808.07
Mcarb,-335941.1713,8166196.766
Mcarb,-335941.1713,8166196.766
Mcarb,-335941.1713,8166196.766
Mcarb,-324754.108,8155464.749
Mcarb,-324754.108,8155464.749
Mcarb,-324754.108,8155464.749
Mcarb,-325657.0092,8150964.42
Mcarb,-325657.0092,8150964.42
Mcarb,-325872.3171,8156537.994
Mcarb,-325872.3171,8156537.994
Mcarb,-325872.3171,8156537.994
Mcarb,-325872.3171,8156537.994
Mcarb,-325872.3171,8156537.994
Mcarb,-325872.3171,8156537.994
Mcarb,-328925.3278,8151954.187
Mcarb,-328925.3278,8151954.187
Mcarb,-328925.3278,8151954.187
Mcarb,-328925.3278,8151954.187
Mcarb,-352917.1856,8186754.257
Mcarb,-355115.7371,8187785.16
Mcarb,-358436.0332,8189888.982
Mcarb,-351796.2145,8185681.128
Mcarb,-348607.837,8186922.464
Mcarb,-348607.837,8186922.464
Mcarb,-348607.837,8186922.464
Mcarb,-352873.5285,8185638.971
Mcog,-317819,8153186
Mcog,-317819,8153186
Mcog,-317819,8153186
Mcog,-329313,8247948
Mcog,-308466,8209650
Mcog,-308466,8209650
Mcog,-308466,8209650
Mcog,-308466,8209650
Mcog,-308466,8209650
Mcog,-267188,7971376
Mcog,-328925,8151954
Mcog,-352698,8185836
Mcog,-352698,8185836
Mcog,-352698,8185836
Mcog,-274669,8117543
Mcog,-291024,8128179
Mcog,-319172,8149587
Mcog,-286461,8127289
Mcog,-286461,8127289
Mcog,-286461,8127289
Mcog,-286461,8127289
Mcog,-286461,8127289
Mcog,-286461,8127289
Mcog,-286461,8127289
Mcog,-286461,8127289
Mcog,-286461,8127289
Mcog,-286461,8127289
Mcog,-286461,8127289
Mcog,-286478,8127464
Mcog,-286461,8127289
Mcog,-286461,8127289
Mcog,-286718,8127345
Mcog,-286316,8127722
Mcog,-285189,8126566
Mcog,-322433,8146469
Mcog,-285189,8126566
Mcog,-285189,8126566
Mcog,-285189,8126566
Mcog,-319295,8149597
Mcog,-319166,8149592
Mcog,-185740,7854259
Mcog,-286118,8125407
Mcog,-286118,8125407
Mcog,-286118,8125407
Mcog,-286118,8125407
Mcog,-286118,8125407
Mcog,-286118,8125407
Mcog,-286118,8125407
Mcog,-286454,8124032
Mcog,-288225,8126692
Mcog,-286550,8124214
Mcog,-285193.9307,8076638.851
Mcog,-284166.3403,8077793.786
Mcog,-287010.1226,8124537.463
Mcog,-287010.1226,8124537.463
Mcog,-287010.1226,8124537.463
Mcog,-285937.3244,8124577.615
Mcog,-287010.1226,8124537.463
Mcog,-287010.1226,8124537.463
Mcog,-288166.4499,8126725.172
Mcog,-324538.9606,8149891.289
Mcog,-322432.1671,8151088.933
Mcog,-328925.3278,8151954.187
Mcog,-329313.1724,8247947.759
Mcog,-329313.1724,8247947.759
Mcog,-329313.1724,8247947.759
Mcog,-329313.1724,8247947.759
Mcog,-329313.1724,8247947.759
Mcog,-329313.1724,8247947.759
Mcog,-267187.6783,7971375.611
Mcog,-267187.6783,7971375.611
Mcog,-267187.6783,7971375.611
Mcog,-267187.6783,7971375.611
Mcog,-267187.6783,7971375.611
Mcog,-267187.6783,7971375.611
Mcog,-267187.6783,7971375.611
Mcog,-267187.6783,7971375.611
Mcog,-267187.6783,7971375.611
Mcog,-267187.6783,7971375.611
Mcog,-269449.0905,7974631.822
Mcog,-269449.0905,7974631.822
Mcog,-270557.877,7975703.113
Mcog,-259782.2704,7972783.355
Mcog,-267187.6783,7971375.611
Mcog,-215976.6794,7885314.626
Mcog,-215933.5339,7884201.963
Mcog,-215933.5339,7884201.963
Mcog,-217035.071,7885273.565
Mcog,-217035.071,7885273.565
Mcog,-217035.071,7885273.565
Mcog,-307225.5294,8205231.763
Mcog,-307225.5294,8205231.763
Mcog,-307225.5294,8205231.763
Mcog,-348477.4653,8183576.885
Msch,-288139,8101734
Msch,-319151,8148606
Msch,-284491,8073846
Msch,-306913,8071577
Msch,-306913,8071577
Msch,-306913,8071577
Msch,-306913,8071577
Msch,-307855,8071292
Msch,-306913,8071577
Msch,-287893,8101284
Msch,-287893,8101284
Msch,-319911,8140742
Msch,-292985,8043391
Msch,-299904,8057357
Msch,-282226,8127973
Msch,-330434,8249023
Msch,-330434,8249023
Msch,-295035,8027162
Msch,-295035,8027162
Msch,-295035,8027162
Msch,-295035,8027162
Msch,-295035,8027162
